Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
AOS,A. O. Smith,25,7.3,11.9,6.3,0,-,8,A O Smith Corp,AOS:NYSE,$66.77 ,$66.42 - $67.55,$46.58 - $76.94,10.05B USD,960.80M,aosmith.com,157.00M,-,-
ABT,Abbott,25,3,13.6,8.4,3,B,56,Abbott Laboratories,ABT:NYSE,$101.74 ,$101.48 - $102.89,$93.25 - $115.83,176.56B USD,9.98B,abbott.com,1.38B,-,-
ABBV,AbbVie,28,1.1,16.8,9.9,3,B,57,AbbVie Inc,ABBV:NYSE,$152.12 ,$151.93 - $154.70,$130.96 - $168.11,268.50B USD,13.86B,abbvie.com,2.02B,https://finance.yahoo.com/news/abbvie-abbv-fell-q2-due-123220563.html,https://www.marketwatch.com/data-news/abbvie-inc-stock-falls-friday-still-outperforms-market-79fdfbf8-7d7c2e5bc9a2
ACN,Accenture,10,0.3,4.6,4.8,2,A,50,Accenture Plc,ACN:NYSE,$312.53 ,$311.46 - $316.69,$242.80 - $330.44,207.62B USD,16.56B,accenture.com,2.01B,https://www.axios.com/2023/09/15/axios-finish-line-lead-like-accenture-ceo-julie-sweet,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-falls-friday-underperforms-market-44e5b4be-805e1a95fcc6
ATVI,Activision Blizzard,19,0.2,12.5,6.3,4,-,33,Activision Blizzard Inc,ATVI:NASDAQ,$91.82 ,$91.73 - $92.33,$70.94 - $93.67,72.24B USD,2.21B,activisionblizzard.com,587.00M,https://www.cnbc.com/2023/08/22/ubisoft-stock-up-9percent-on-revised-microsoft-activision-deal.html,https://www.ft.com/content/ba6a13de-5318-4630-b8f8-9680d4529642
ADM,ADM,36,18.2,13.2,5,3,B,59,Archer-Daniels-Midland Co,ADM:NYSE,$79.35 ,$78.68 - $80.71,$69.92 - $98.28,42.54B USD,25.19B,adm.com,927.00M,https://www.marketwatch.com/data-news/archer-daniels-midland-co-stock-falls-friday-underperforms-market-a3859e7f-b53f356e455a,https://beststocks.com/old-republic-international-corp-reduces-stake-in-a/
ADBE,Adobe Inc.,12,1.9,5.9,4.6,1,A,44,Adobe Inc,ADBE:NASDAQ,$528.89 ,$523.62 - $537.69,$274.73 - $570.24,241.07B USD,4.82B,adobe.com,1.30B,https://petapixel.com/2023/09/15/adobe-hikes-creative-cloud-prices-as-it-reports-record-revenue/,https://www.barrons.com/articles/what-to-know-today-5be89e38
ADP,ADP,14,1.1,7,5.9,1,B,39,Automatic Data Processing Inc,ADP:NASDAQ,$245.31 ,$244.69 - $248.91,$201.46 - $274.92,101.06B USD,4.48B,adp.com,776.70M,-,-
AES,AES Corporation,34,16.5,11.2,6.5,2,B,52,AES Corp,AES:NYSE,$17.24 ,$17.20 - $17.58,$16.89 - $29.89,11.54B USD,3.03B,aes.com,-39.00M,-,-
AFL,Aflac,17,0.5,7.3,9.6,2,B,46,AFLAC Incorporated,AFL:NYSE,$76.51 ,$76.15 - $77.09,$56.03 - $78.43,45.45B USD,5.17B,aflac.com,1.63B,https://beststocks.com/analyst-raises-price-target-for-aflac-nyseafl/,-
A,Agilent Technologies,15,0.3,8.6,6.3,1,C,33,Agilent Technologies Inc,A:NYSE,$115.91 ,$113.43 - $121.92,$109.00 - $160.26,33.91B USD,1.67B,agilent.com,111.00M,https://www.marketwatch.com/data-news/agilent-technologies-inc-stock-rises-friday-outperforms-market-7230e2ae-c1fc7d9b1365,https://www.investorsobserver.com/news/stock-update/should-you-add-agilent-technologies-inc-a-stock-to-your-portfolio-thursday
APD,Air Products and Chemicals,11,5.9,1.3,3.6,1,B,38,"Air Products & Chemicals, Inc.",APD:NYSE,$302.11 ,$301.15 - $307.71,$224.75 - $328.56,67.11B USD,3.03B,airproducts.com,595.60M,https://beststocks.com/investment-firm-3chopt-shows-confidence-in-air-pr/,https://investorplace.com/2023/08/7-hot-hydrogen-stocks-with-massive-upside/
AKAM,Akamai,17,2.9,6.9,6.7,1,A-,42,"Akamai Technologies, Inc.",AKAM:NASDAQ,$104.50 ,$104.34 - $106.06,$70.65 - $107.47,15.85B USD,935.72M,akamai.com,128.82M,https://beststocks.com/investment-firm-am-squared-ltd-acquires-new-stake/,https://news.stocktradersdaily.com/news_release/3/Akamai+Technologies+AKAM+Investment+Report_091423084501.html
ALK,Alaska Air Group,0,0,0,0,0,C,22,"Alaska Air Group, Inc.",ALK:NYSE,$39.47 ,$39.19 - $39.92,$37.20 - $57.18,5.02B USD,2.84B,careers.alaskaair.com,240.00M,https://www.marketwatch.com/data-news/alaska-air-group-inc-stock-rises-thursday-still-underperforms-market-e3c929d8-d7ad1917c6b0,https://www.investorsobserver.com/news/stock-update/alaska-air-group-inc-alk-stock-has-fallen-0-63-this-week-buy-hold-or-sell
ALB,Albemarle Corporation,29,15.5,5.5,7.7,2,B,50,Albemarle Corporation,ALB:NYSE,$183.84 ,$182.93 - $188.47,$171.82 - $334.55,21.57B USD,2.37B,albemarle.com,650.04M,https://investorplace.com/2023/08/7-millionaire-maker-battery-stocks-to-hold-through-thick-and-thin/,https://www.nasdaq.com/articles/notable-wednesday-option-activity:-grmn-acn-alb
ARE,Alexandria Real Estate Equities,14,3.9,3.7,6.3,0,B,32,Alexandria Real Estate Equities Inc,ARE:NYSE,$113.73 ,$113.05 - $114.35,$108.81 - $172.65,19.68B USD,714.08M,are.com,89.94M,https://www.marketwatch.com/data-news/alexandria-real-estate-equities-inc-stock-outperforms-market-despite-losses-on-the-day-f644cbf4-1965603fd1ab,-
